Адрес|Статус|Кадастровый номер|GUID дома|GUID ФИАС|ОКТМО|Способ управления|ОГРН УО|Управляющая организация|Тип дома|Состояние|Общая площадь|Жилая площадь|Дата сноса|Помещений всего|КВ|НЖ|ММ|ОИ|ЛК|ЧКВ|ERR|Квартир с комнатами
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 43, литер А|МКД|78:42:0000000:3076|010eb256-a57e-47fe-a3c1-f731810e87a9|39dea41b-1694-440a-bb36-f07108b4e4b6|40397000|УО|1177847100914|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛФОНДСЕРВИС"""|Многоквартирный|Исправный|4120.3000|4041||83|78|5|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 45, литер А|МКД|78:42:0000000:3081|c62a051a-a6f9-4ff6-8f39-bc07731c7d33|93219663-8429-4fea-8b89-01c3c8b17751|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|940.3000|940.3||24|24|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 47, литер А|МКД|78:42:0000000:3078|c9b233df-309e-4e51-b883-dffac03ca07d|a0787c35-27e8-4f76-9718-b58a5b0299fc|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|947.9000|947.9||24|24|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 4, литер А|МКД|78:42:0018238:5402|3dd5f2cc-5555-476d-b674-0966309893b7|a0ecd865-5638-4b5e-9ec8-2fef9604b3cc|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|2008.9000|2008.9||48|48|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 51, литер А|МКД|78:42:0000000:3077|430c4453-36a1-43d6-bc32-10bebd31c4f2|74d6010b-25a4-4465-bb3d-4e396e62d3ac|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|954.9000|954.9||24|24|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 53, литер А|МКД|78:42:0018222:3002|7c90ed2c-f5a9-4923-b570-8acfb9770f45|790b62b1-98a7-47a5-9bad-7def6e7883b6|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|4812.7000|4421.4||54|15|17|0|0|0|164|22|32
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 55, корп. 1, строение 1|МКД|78:42:0018222:6018|b9fc0dfa-9bfd-42bb-882e-c3e142f2aad6|86a826f6-902c-45a2-a260-31f85d94b02c|40397000|Не выбран|||Многоквартирный|Исправный|4930.0000|||57|48|9|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 55, корп. 1, строение 2|МКД|78:42:0018222:6076|e29184f1-bd65-4ba1-af00-8f7279c0e38e|2cfcea08-d61b-4fe1-80d4-befaffeff6a6|40397000|Не выбран|||Многоквартирный|Исправный|4959.2000|||56|48|8|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 55, корп. 1, строение 3|МКД|78:42:0018222:6134|b8749f6e-b92d-4df9-b94c-35a452b7f522|898acb76-76a5-4ce8-9df3-1e7a4cdff6ca|40397000|Не выбран|||Многоквартирный|Исправный|4941.3000|||55|48|7|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 55, корп. 2, строение 1|МКД|78:42:0018222:3273|93fce5c8-5ee1-4ff5-b4e4-ae8021958152|5f78b9ae-df7f-4f3c-80b5-579a16b9a24a|40397000|УО|1089848022967|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИТ СЕРВИС САНКТ-ПЕТЕРБУРГ"""|Многоквартирный|Исправный|4857.9000|3539.3||120|71|49|0|0|0|0|0|0
